,Holder,Shares,Date Reported,% Out,Value
0,Vanguard Total Stock Market Index Fund,213074576,2020-12-30,0.028300000000000002,47392047193
1,Vanguard 500 Index Fund,151495446,2020-12-30,0.020099999999999996,33695617099
2,SPDR S&P 500 ETF Trust,77076370,2021-02-27,0.0102,17911006860
3,Fidelity 500 Index Fund,68511211,2021-01-30,0.0091,15891860503
4,Vanguard Institutional Index Fund-Institutional Index Fund,62176808,2020-12-30,0.008199999999999999,13829365635
5,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",62126138,2021-02-27,0.008199999999999999,14436871948
6,Vanguard Growth Index Fund,59959855,2020-12-30,0.0079,13336270949
7,iShares Core S&P 500 ETF,58268455,2021-02-27,0.0077,13540423572
8,Growth Fund Of America Inc,52798737,2020-12-30,0.006999999999999999,11743495083
9,Washington Mutual Investors Fund,33300557,2021-01-30,0.0044,7724397201
