,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,6555000000.0,6923000000.0,7038000000.0,6855000000.0
Total Liab,173901000000.0,177609000000.0,183007000000.0,170948000000.0
Total Stockholder Equity,130236000000.0,123392000000.0,118304000000.0,114501000000.0
Other Current Liab,39926000000.0,42996000000.0,46001000000.0,37432000000.0
Total Assets,304137000000.0,301001000000.0,301311000000.0,285449000000.0
Common Stock,81896000000.0,81089000000.0,80552000000.0,79813000000.0
Other Current Assets,12748000000.0,13572000000.0,11517000000.0,8520000000.0
Retained Earnings,44973000000.0,39193000000.0,34566000000.0,32012000000.0
Other Liab,31585000000.0,33174000000.0,34492000000.0,33991000000.0
Good Will,44219000000.0,43890000000.0,43351000000.0,42064000000.0
Treasury Stock,3367000000.0,3110000000.0,3186000000.0,2676000000.0
Other Assets,13561000000.0,13034000000.0,13138000000.0,13696000000.0
Cash,14432000000.0,17205000000.0,13576000000.0,11710000000.0
Total Current Liabilities,67486000000.0,70056000000.0,72310000000.0,58707000000.0
Short Long Term Debt,5387000000.0,6497000000.0,3749000000.0,3748000000.0
Other Stockholder Equity,3367000000.0,3110000000.0,3186000000.0,2676000000.0
Property Plant Equipment,62035000000.0,56974000000.0,52904000000.0,49669000000.0
Total Current Assets,173973000000.0,177077000000.0,181915000000.0,170505000000.0
Long Term Investments,3794000000.0,3103000000.0,2965000000.0,2660000000.0
Net Tangible Assets,79462000000.0,72579000000.0,67915000000.0,65582000000.0
Short Term Investments,117557000000.0,120744000000.0,122916000000.0,125932000000.0
Net Receivables,27312000000.0,22851000000.0,32011000000.0,22699000000.0
Long Term Debt,55136000000.0,57055000000.0,59578000000.0,62862000000.0
Inventory,1924000000.0,2705000000.0,1895000000.0,1644000000.0
Accounts Payable,12770000000.0,12509000000.0,12530000000.0,9246000000.0
Deferred Long Term Asset Charges,,,6405000000.0,
